GROUPING,TYPE,STATE,Premium,Losses,Quotes,Sales,Premium2,Losses2,Quotes2,Sales2,Premium3
32095,ZIP,FL,48280,52142,157696,4573,52625,56313,164004,2790,27365
32096,ZIP,FL,60100,57696,73824,4725,57095,40964,67180,3544,58808
32097,ZIP,FL,407598,269015,35006,1645,407598,166789,34306,888,448358
32099,ZIP,FL,123855,132525,136490,10646,126332,68913,69610,8410,73273
32102,ZIP,FL,261278,167218,16096,418,263891,96986,16418,297,192640
32105,ZIP,FL,195906,99912,70319,6891,131257,76932,67506,6753,103693
32110,ZIP,FL,969592,426620,131376,10641,746586,354095,109042,5746,477815
32111,ZIP,FL,264024,105610,188261,11484,277225,58086,131783,6201,158018
32112,ZIP,FL,962855,635484,116646,5949,924341,419419,88651,5771,748716
32113,ZIP,FL,449091,305382,58355,7586,327836,152691,44933,7510,318001
32114,ZIP,FL,553813,542737,40322,3105,603656,455899,27016,3074,398413
32115,ZIP,FL,272317,117096,90940,8730,250532,107728,69114,5936,260553
32116,ZIP,FL,254578,180750,2928,149,165476,148215,3221,155,92667
32117,ZIP,FL,16738,18412,87439,11105,15901,18964,64705,8551,11608
32118,ZIP,FL,480097,508903,20517,1436,360073,366410,16414,1379,280857
32119,ZIP,FL,974389,711304,38217,4854,721048,775321,21402,4029,771521
32120,ZIP,FL,962831,799150,122853,9583,818406,623337,84769,10541,450123
32121,ZIP,FL,682336,450342,163701,12932,600456,342260,124413,9699,594451
32122,ZIP,FL,396387,340893,114741,17096,305218,357938,99825,12309,302166
32123,ZIP,FL,3910,2424,102929,4735,2815,2279,95724,4924,1576
32124,ZIP,FL,447339,174462,85507,6413,228143,153527,83797,7054,223580
32125,ZIP,FL,340351,309719,26925,754,234842,207512,22079,641,185525
32126,ZIP,FL,250398,210334,82519,7427,182791,189301,45385,3862,186447
32127,ZIP,FL,111570,45744,95978,9118,103760,49404,58547,5015,69519
32128,ZIP,FL,869071,373701,172942,19024,495370,313909,150460,12175,361620
32129,ZIP,FL,822961,567843,128526,6298,444399,494023,123385,3527,297747
32130,ZIP,FL,892255,687036,194354,19047,936868,748869,161314,13142,749494
32131,ZIP,FL,913731,685298,180363,4689,1005104,520826,95592,3189,743777
32132,ZIP,FL,684893,410936,153150,17306,561612,402717,147024,11941,398745
32133,ZIP,FL,54926,48884,146450,6590,30209,51328,77619,5667,20240
32134,ZIP,FL,281619,219663,130710,14117,287251,182320,122867,12282,155116
32135,ZIP,FL,858546,746935,117860,7779,618153,485508,87216,5523,482159
32136,ZIP,FL,268627,287431,144071,21178,260568,160961,116698,11860,140707
32137,ZIP,FL,291327,215582,169392,16262,154403,230673,174474,16587,140507
32138,ZIP,FL,368449,298444,65141,8729,272652,185035,61233,9165,169044
32139,ZIP,FL,363611,261800,95283,7527,196350,193732,91472,8204,184569
32140,ZIP,FL,493278,325563,192727,22164,281168,244172,107927,20613,255863
32141,ZIP,FL,810745,559414,109588,16219,413480,469908,76712,15570,231549
32142,ZIP,FL,323848,207263,158646,18086,216978,118140,95188,18629,214808
32145,ZIP,FL,969001,416670,1251,146,552331,300002,1201,77,502621
32147,ZIP,FL,273938,120533,53041,2175,268459,90400,41902,1153,249667
32148,ZIP,FL,640796,627980,175212,12440,365254,678218,103375,11694,372559
32149,ZIP,FL,383668,299261,177047,11862,291588,269335,159342,12336,282840
32157,ZIP,FL,288836,285948,58583,3163,294613,188726,63855,1835,147307
32158,ZIP,FL,337401,134960,65748,9862,317157,145757,54571,9172,193466
32159,ZIP,FL,153091,102571,36507,1606,154622,63594,35412,1590,112874
32160,ZIP,FL,888702,417690,28690,3988,764284,459459,27829,4267,489142
32162,ZIP,FL,952258,476129,102886,12346,914168,414232,53501,8889,895885
32164,ZIP,FL,737791,464808,162711,20664,752547,446216,113898,10539,617089
32168,ZIP,FL,848948,925353,185048,24981,857437,684761,109178,15488,805991
32169,ZIP,FL,378960,375170,151765,18060,329695,292633,86506,19685,171441
32170,ZIP,FL,671182,731588,172534,10352,463116,651113,129401,8178,236189
32173,ZIP,FL,382558,313698,153581,8447,252488,197630,99828,7856,209565
32174,ZIP,FL,484731,426563,54659,3662,465342,418032,40448,3442,269898
32175,ZIP,FL,787375,795249,195699,6654,740133,866821,150688,3660,481086
32176,ZIP,FL,58479,44444,143533,3875,49707,46222,86120,3255,52689
32177,ZIP,FL,906804,317381,16030,1282,598491,336424,17633,1333,341140
32178,ZIP,FL,593417,344182,62979,5164,569680,347624,49753,2789,489925
32179,ZIP,FL,504568,555025,28360,3346,327969,371867,15031,2610,350927
32180,ZIP,FL,210937,219374,77641,7143,107578,195243,52796,4429,92517
32181,ZIP,FL,723458,318322,188794,20012,752396,311956,143483,12407,684680
32182,ZIP,FL,875337,831570,13896,528,962871,490626,13201,401,905099
32183,ZIP,FL,104214,89624,57449,3332,82329,66322,44810,2666,65863
32185,ZIP,FL,900378,954401,152913,7187,927389,954401,149855,5965,565707
32187,ZIP,FL,179433,163284,199953,7598,197376,143690,219948,6078,155927
32189,ZIP,FL,666795,373405,67974,3331,600116,212841,66615,3098,336065
32190,ZIP,FL,120519,120519,37685,4145,74722,122929,24118,3316,76964
32192,ZIP,FL,133127,78545,82984,6805,102508,40843,72196,6669,94307
32193,ZIP,FL,239366,251334,86679,9448,179525,208607,83212,9826,163368
32195,ZIP,FL,790756,861924,186855,7661,506084,491297,123324,7891,268225
32198,ZIP,FL,971693,689902,49292,5225,621884,344951,34011,4023,422881
32201,ZIP,FL,875874,613112,39606,1188,779528,533407,38022,1057,452126
32202,ZIP,FL,712866,491878,96023,10755,762767,536147,88341,6561,655980
32203,ZIP,FL,50664,23305,120541,6630,50157,24936,110898,6564,36615
32204,ZIP,FL,739764,510437,34870,3487,650992,393036,22666,3103,390595
32205,ZIP,FL,597071,579159,142309,17646,310477,364870,123809,17293,260801
32206,ZIP,FL,839309,898061,120579,4220,856095,475972,71142,2110,890339
32207,ZIP,FL,132655,104797,16953,2068,70307,106893,9324,1117,61167
32208,ZIP,FL,27897,9764,49793,2988,21481,9862,46307,1793,15252
32209,ZIP,FL,639637,562881,17246,2518,383782,281441,8623,1284,214918
32210,ZIP,FL,310536,276377,101292,13978,208059,171354,93189,15376,122755
32211,ZIP,FL,803263,634578,154536,13599,771132,564774,126720,9383,416411
32212,ZIP,FL,799623,575729,133432,13743,439793,391496,93402,7421,281468
32214,ZIP,FL,218544,107087,9729,700,222915,81386,8562,434,113687
32215,ZIP,FL,446405,486581,197407,16187,236595,301680,191485,15054,215301
32216,ZIP,FL,12619,7193,26348,2872,11231,4819,22396,2068,11231
32217,ZIP,FL,440154,308108,16027,481,440154,332757,8014,269,330116
32218,ZIP,FL,847612,847612,103110,9383,525519,652661,55679,8632,536029
32219,ZIP,FL,350853,136833,62420,4182,196478,102625,50560,2175,168971
32220,ZIP,FL,291977,163507,185444,15948,218983,150426,107558,11164,131390
32221,ZIP,FL,248892,134402,126754,3929,194136,131714,68447,3575,155309
32222,ZIP,FL,717050,738562,51757,4089,380037,753333,27431,4089,224222
32223,ZIP,FL,17651,17298,12899,1728,12885,10898,6707,1434,12498
32224,ZIP,FL,824708,849449,116710,14939,791720,543647,95702,7619,427529
32225,ZIP,FL,69039,34520,13949,1813,38662,22783,11717,1541,33249
32226,ZIP,FL,609627,652301,66122,9323,304814,717531,41657,7365,268236
32227,ZIP,FL,736110,360694,18729,1292,544721,223630,14609,1357,544721
32228,ZIP,FL,19585,20368,5520,773,11751,13036,3698,433,11163
32229,ZIP,FL,732266,790847,136705,11483,519909,403332,73821,12172,343140
32230,ZIP,FL,129277,58175,39312,4521,80152,57593,32629,4205,63320
32231,ZIP,FL,387573,170532,163543,17499,232544,86971,81772,12599,218591
32232,ZIP,FL,586580,504459,154267,9256,369545,423746,135755,8238,225422
32233,ZIP,FL,613623,306812,117708,13772,466353,325221,69448,13910,424381
32234,ZIP,FL,713276,506426,13381,682,713276,521619,12444,436,748940
32235,ZIP,FL,365747,208476,10730,1309,201161,143848,8799,1361,179033
32236,ZIP,FL,85083,37437,46826,2669,68917,28078,37461,2776,55134
32237,ZIP,FL,528562,221996,32709,1047,401707,215336,17336,775,305297
32238,ZIP,FL,798251,470968,114421,12701,470968,503936,61787,12574,405032
32239,ZIP,FL,37356,34741,136536,5871,23161,28140,95575,6282,14823
32240,ZIP,FL,675357,661850,92121,4053,425475,575810,67248,3891,229757
32241,ZIP,FL,55085,39110,13653,1393,44619,24639,10922,1282,49081
32244,ZIP,FL,61838,59364,37042,4853,32774,33244,20744,3979,33757
32245,ZIP,FL,880621,325830,18844,1903,880621,175948,17713,1028,545985
32246,ZIP,FL,876348,403120,60992,7197,701078,326527,63432,5830,609938
32247,ZIP,FL,962562,683419,189856,11391,587163,744927,189856,6607,475602
32250,ZIP,FL,319539,198114,18738,1799,162965,198114,19488,1331,146669
32254,ZIP,FL,159934,142341,42567,1362,100758,91098,40013,1239,71538
32255,ZIP,FL,925356,610735,50783,5688,805060,537447,47736,4607,619896
32256,ZIP,FL,239635,155763,194988,7995,174934,165109,210587,7995,129451
32257,ZIP,FL,784451,290247,122432,11631,768762,304759,119983,6164,492008
32258,ZIP,FL,861389,534061,131085,17172,534061,347140,144194,11677,331118
32259,ZIP,FL,251759,269382,78178,6880,271900,247831,75051,5710,239272
32260,ZIP,FL,320492,349336,108324,13324,214730,195628,108324,13724,143869
32266,ZIP,FL,772361,810979,42646,1151,602442,802869,25588,806,644613
32267,ZIP,FL,773886,719714,89437,7334,673281,647743,79599,7774,673281
32277,ZIP,FL,598731,467010,155793,18851,353251,513711,135540,17720,229613
32290,ZIP,FL,812610,292540,70836,9067,804484,274988,48168,5712,748170
32301,ZIP,FL,720933,310001,171764,8073,612793,248001,183787,6055,410571
32302,ZIP,FL,919976,386390,152196,6544,708382,355479,121757,5562,743801
32303,ZIP,FL,667930,714685,116770,6889,414117,557454,115602,5787,207059
32304,ZIP,FL,85291,81879,76125,10277,83585,67960,66229,5755,89436
32305,ZIP,FL,819933,426365,60290,4281,508358,315510,33160,2397,477857
32306,ZIP,FL,417771,342572,175821,6330,459548,171286,165272,5634,284920
32307,ZIP,FL,548175,592029,109234,3714,312460,444022,109234,2377,253093
32308,ZIP,FL,771515,601782,138999,14178,763800,385140,120929,10634,611040
32309,ZIP,FL,726128,689822,116357,6283,566380,475977,81450,6283,351156
32310,ZIP,FL,849264,670919,164363,8547,560514,691047,124916,7009,459621
32311,ZIP,FL,302027,289946,35036,4660,262763,191364,26627,2423,170796
32312,ZIP,FL,289932,188456,87390,8652,220348,122496,81273,4413,174075
32313,ZIP,FL,78916,77338,120547,14707,44193,59550,71123,10295,34029
32314,ZIP,FL,187072,196426,122086,13063,138433,161069,126969,6662,121821
32315,ZIP,FL,87401,58559,33834,3282,65551,33379,36541,1641,53752
32316,ZIP,FL,744873,819360,125932,17756,782117,827554,109561,14027,563124
32317,ZIP,FL,764351,542689,116413,9313,802569,450432,82653,6333,658107
32318,ZIP,FL,530046,577750,64504,7869,561849,554640,39347,8656,365202
32320,ZIP,FL,821635,443683,191970,19773,690173,417062,113262,17598,510728
32321,ZIP,FL,878137,465413,170752,5635,623477,335097,179290,4057,679590
32322,ZIP,FL,910485,965114,116502,7456,773912,984416,85046,4101,727477
32323,ZIP,FL,235145,206928,117770,10482,239848,111741,81261,5660,251840
32324,ZIP,FL,360005,205203,95103,5801,234003,194943,77033,3829,231663
32326,ZIP,FL,555493,355516,83986,2772,522163,355516,66349,2633,501276
32327,ZIP,FL,393451,354106,49759,2886,330499,304531,33836,2771,257789
32328,ZIP,FL,566908,532894,108675,12498,351483,468947,60858,12498,316335
32329,ZIP,FL,591320,632712,11238,1270,425750,354319,9215,851,459810
32330,ZIP,FL,399970,323976,97163,6996,399970,298058,102021,7696,431968
32331,ZIP,FL,397911,242726,108028,13720,350162,123790,98305,11388,294136
32332,ZIP,FL,2566,1283,151983,16262,1463,783,97269,9920,1375
32333,ZIP,FL,286473,126048,131219,4068,306526,115964,104975,3865,229895
32334,ZIP,FL,854039,401398,157794,9152,657610,385342,89943,5491,499784
32335,ZIP,FL,876091,639546,134836,10517,884852,383728,148320,7152,725579
32336,ZIP,FL,885061,964716,46834,6276,831957,559535,46834,6653,682205
32337,ZIP,FL,782868,516693,36363,5273,657609,568362,37454,3111,565544
32340,ZIP,FL,779943,467966,169753,22238,475765,439888,147685,21571,466250
32341,ZIP,FL,77889,32713,171616,20079,52965,17338,92673,19677,48728
32343,ZIP,FL,602045,264900,113296,16994,373268,278145,91770,10196,265020
32344,ZIP,FL,876920,833074,86646,10224,859382,433198,63252,7464,455472
32345,ZIP,FL,88254,68838,143167,11883,90902,46810,105944,11289,59086
32346,ZIP,FL,189438,204593,20716,1782,166705,163674,20923,1247,166705
32347,ZIP,FL,547944,361643,142964,12009,438355,336328,138675,6365,359451
32348,ZIP,FL,624915,668659,91926,10939,412444,488121,63429,9736,424817
32350,ZIP,FL,712214,605382,14251,926,569771,345068,11686,500,472910
32351,ZIP,FL,764205,695427,134223,4161,557870,528525,128854,2788,596921
32352,ZIP,FL,271275,263137,195053,25357,233297,221035,204806,23075,142311
32353,ZIP,FL,474783,227896,43725,2711,275374,139017,25361,2874,258852
32355,ZIP,FL,946615,937149,39196,5840,757292,890292,39588,4380,439229
32356,ZIP,FL,532966,554285,165722,16904,548955,509942,101090,15721,565424
32357,ZIP,FL,456302,501932,74783,8226,406109,446719,77026,8391,369559
32358,ZIP,FL,490450,524782,54634,3060,480641,346356,53541,2081,442190
32359,ZIP,FL,70852,60933,76308,10073,42511,31076,63336,9368,43361
32360,ZIP,FL,873497,471688,199475,14562,803617,264145,169554,8883,747364
32361,ZIP,FL,150189,82604,115978,12874,106634,48736,73066,13389,83175
32362,ZIP,FL,656171,544622,74969,2999,380579,381235,60725,3119,190290
32395,ZIP,FL,610110,585706,89361,11528,549099,462708,72382,7263,362405
32399,ZIP,FL,436305,318503,117920,14976,270509,296208,121458,16474,254278
32401,ZIP,FL,574339,350347,12454,1208,499675,339837,6601,1256,404737
32402,ZIP,FL,687418,694292,195433,13876,446822,506833,195433,12766,290434
32403,ZIP,FL,882516,450083,32238,2966,511859,306056,28047,1750,557926
32404,ZIP,FL,898850,476391,138158,10224,485379,519266,140921,8384,431987
32405,ZIP,FL,861032,473568,138740,13180,869642,464097,72145,11071,869642
32406,ZIP,FL,873153,541355,165047,4621,698522,498047,97378,3420,433084
32407,ZIP,FL,352353,253694,81984,7133,359400,273990,57389,4280,197670
32408,ZIP,FL,321722,199468,154991,8060,318505,217420,159641,6770,337615
32409,ZIP,FL,452580,484261,160885,23167,235342,469733,173756,25252,228282
32410,ZIP,FL,457155,443440,158736,4127,315437,416834,114290,2435,195571
32411,ZIP,FL,10871,6088,157988,20538,9349,3409,146929,16225,9816
32412,ZIP,FL,821742,747785,19321,2299,427306,545883,10047,2138,435852
32413,ZIP,FL,885813,442907,195173,14443,469481,469481,208835,8377,497650
32417,ZIP,FL,526784,568927,35549,3697,326606,421006,23462,2107,323340
32420,ZIP,FL,199885,75956,39103,1955,111936,64563,39885,2131,92907
32421,ZIP,FL,588882,471106,176095,25182,494661,489950,179617,22916,346263
32422,ZIP,FL,43812,44250,161704,13260,42498,32303,126129,9017,27624
32423,ZIP,FL,85837,35193,111558,13499,74678,21820,55779,13364,58996
32424,ZIP,FL,755447,823437,72562,6748,596803,494062,69660,4386,429698
32425,ZIP,FL,868042,928805,137486,11824,572908,826636,114113,10523,315099
32426,ZIP,FL,889150,871367,53636,6007,533490,540248,27354,5406,410787
32427,ZIP,FL,440624,370124,87949,3782,449436,325709,46613,2874,471908
32428,ZIP,FL,705615,359864,20101,2734,733840,230313,15880,2843,689810
32430,ZIP,FL,837514,569510,105180,4312,435507,552425,72574,2544,322275
32431,ZIP,FL,622771,367435,53786,7207,628999,191066,57551,5261,396269
32432,ZIP,FL,284154,250056,86409,2419,278471,265059,75176,2105,253409
32433,ZIP,FL,225699,115106,67076,9256,151218,80574,48295,9163,155755
32434,ZIP,FL,144396,105409,87695,3771,93857,103301,69279,1886,62884
32435,ZIP,FL,517060,310236,117009,13339,263701,223370,77226,8670,268975
32437,ZIP,FL,916123,705415,87683,11136,540513,705415,47349,9020,389169
32438,ZIP,FL,689381,592868,104382,6263,365372,622511,64717,5511,186340
32439,ZIP,FL,520302,561926,129453,7120,546317,314679,132042,6479,524464
32440,ZIP,FL,189643,178264,127956,15739,189643,135481,87010,17313,104304
32442,ZIP,FL,358975,136411,163727,11297,258462,102308,103148,8812,147323
32443,ZIP,FL,225990,135594,154576,10511,160453,97628,89654,9880,136385
32444,ZIP,FL,922855,479885,145840,15605,802884,340718,102088,10767,859086
32445,ZIP,FL,624408,536991,84719,9150,611920,477922,71164,8510,495655
32446,ZIP,FL,688818,688818,159959,18875,461508,482173,175955,19819,466123
32447,ZIP,FL,285036,119715,136155,14841,302138,125701,96670,14396,160133
32448,ZIP,FL,304285,127800,52802,3749,261685,102240,51218,3712,185796
32449,ZIP,FL,263251,202703,38152,1373,226396,198649,41586,1043,142629
32452,ZIP,FL,136222,147120,184739,22169,114426,133879,107149,16183,81242
32454,ZIP,FL,263263,134264,130845,18318,242202,122180,73273,17952,201028
32455,ZIP,FL,609038,401965,182118,17301,615128,265297,149337,12803,608977
32456,ZIP,FL,149615,143630,102561,14256,91265,145066,97433,12973,88527
32457,ZIP,FL,571872,629059,47860,5312,423185,415179,48817,3240,338548
32459,ZIP,FL,714807,335959,113654,5910,664771,288925,105698,4610,438749
32460,ZIP,FL,178562,101780,180890,7055,166063,77353,189935,7408,99638
32461,ZIP,FL,201865,117082,124126,13902,163511,63224,88129,8480,138984
32462,ZIP,FL,375797,191656,2038,261,368281,151408,1895,266,290942
32463,ZIP,FL,566885,402488,114044,14826,396820,205269,88954,9192,206346
32464,ZIP,FL,650984,527297,25202,2848,410120,490386,14365,2079,246072
32465,ZIP,FL,435969,217985,186634,22583,222344,215805,108248,20551,244578
32466,ZIP,FL,507562,482184,187198,25646,269008,313420,142270,17696,209826
32501,ZIP,FL,160455,152432,112194,13912,160455,97556,113316,13495,121946
32502,ZIP,FL,110960,46603,153323,4140,100974,49399,90461,2608,82799
32503,ZIP,FL,773546,556953,195079,19898,587895,467841,208735,19500,417405
32504,ZIP,FL,176773,166167,13766,578,183844,166167,10875,624,159944
32505,ZIP,FL,124758,117273,118704,11277,129748,120791,92589,8571,103798
32506,ZIP,FL,995586,368367,174563,21646,816381,184184,115212,20780,522484
32507,ZIP,FL,598177,233289,118436,10778,652013,170301,126727,7760,326007
32508,ZIP,FL,510089,499887,141289,12433,423374,264940,124334,11563,279427
32509,ZIP,FL,881813,961176,179034,10205,643723,682435,112791,6735,463481
32511,ZIP,FL,678862,298699,37412,4452,590610,191167,31800,3294,531549
32512,ZIP,FL,921381,847671,182607,7122,912167,728997,142433,5840,784464
32513,ZIP,FL,308310,206568,24905,2764,163404,105350,18679,2598,173208
32514,ZIP,FL,891259,650619,114779,9986,811046,585557,125109,5293,559622
32516,ZIP,FL,668210,420972,10006,901,340787,311519,7505,964,293077
32520,ZIP,FL,392901,145373,1619,228,204309,74140,1360,153,218611
32521,ZIP,FL,43473,20432,15060,1958,30431,16346,9036,1723,19780
32522,ZIP,FL,104747,113127,127229,3817,86940,99552,114506,2061,70421
32523,ZIP,FL,6245,3123,136275,12401,6307,2717,115834,8061,6118
32524,ZIP,FL,208778,144057,2173,206,206690,72029,1239,204,107479
32526,ZIP,FL,354109,272664,161881,7608,293910,250851,174831,3880,299788
32530,ZIP,FL,230013,232313,105569,12140,213912,118480,55952,13354,149738
32531,ZIP,FL,592566,254803,148632,8175,616269,252255,142687,7031,597781
32533,ZIP,FL,262402,136449,194431,21582,149569,102337,101104,15323,97220
32534,ZIP,FL,520479,229011,31439,3961,385154,169468,33011,4357,273459
32535,ZIP,FL,185338,88962,185774,25265,100083,53377,183916,24254,99082
32536,ZIP,FL,800784,880862,85923,8850,648635,440431,49835,7080,694039
32537,ZIP,FL,238984,188797,136111,10481,155340,162365,134750,9328,158447
32538,ZIP,FL,696871,710808,181470,25769,585372,561538,176026,21131,298540
32539,ZIP,FL,200864,156674,121199,7636,202873,123772,99383,6949,121724
32540,ZIP,FL,535994,519914,138161,10224,503834,566706,84278,5828,372837
32541,ZIP,FL,300819,315860,60810,1946,321876,161089,62634,1888,254282
32542,ZIP,FL,269967,280766,1979,154,197076,160037,1128,134,106421
32544,ZIP,FL,815408,497399,49545,1288,831716,497399,44095,799,415858
32547,ZIP,FL,897885,673414,150134,13662,637498,727287,124611,9563,490873
32548,ZIP,FL,185330,190890,139594,19124,126024,137441,152157,16638,113422
32549,ZIP,FL,973285,749429,98328,11308,642368,629520,90462,10516,334031
32550,ZIP,FL,590850,378144,81379,4150,425412,268482,56152,4109,212706
32559,ZIP,FL,339814,132527,131750,12121,265055,144454,92225,9697,164334
32560,ZIP,FL,872329,340208,131105,17175,854882,193919,69486,9618,718101
32561,ZIP,FL,995655,1005612,6022,524,597393,854770,3071,262,651158
32562,ZIP,FL,232291,176541,188108,6019,232291,118282,171178,4213,211385
32563,ZIP,FL,508042,365790,181814,13091,477559,252395,107270,12436,267433
32564,ZIP,FL,737732,627072,31345,1693,501658,545553,20374,1642,421393
32565,ZIP,FL,612685,379865,84135,4880,496275,334281,60577,4441,486350
32566,ZIP,FL,704900,274911,15668,1441,437038,197936,12221,865,428297
32567,ZIP,FL,121970,130508,82370,3295,82940,69169,55188,3031,75475
32568,ZIP,FL,860841,473463,18498,1942,533721,501871,16833,1126,272198
32569,ZIP,FL,574415,246998,33692,1954,287208,138319,33355,1974,163709
32570,ZIP,FL,94425,85927,26034,833,97258,48119,16141,458,66135
32571,ZIP,FL,154348,69457,127524,5356,118848,68762,109671,2785,129544
32572,ZIP,FL,825882,503788,124854,17729,586376,392955,78658,9219,433918
32577,ZIP,FL,243861,158510,48338,2562,251177,90351,39637,2562,155730
32578,ZIP,FL,173564,78104,134696,12661,138851,45300,91593,13927,143017
32579,ZIP,FL,453706,294909,5862,457,485465,212334,6331,265,378663
32580,ZIP,FL,553321,226862,48260,4536,359659,188295,46330,3311,384835
32583,ZIP,FL,945705,472853,122378,6976,699822,326269,118707,6278,741811
32588,ZIP,FL,82175,76423,128024,8450,57523,48911,99859,7183,62700
32590,ZIP,FL,545081,234385,124917,6870,343401,203915,127415,7282,364005
32591,ZIP,FL,367912,165560,174052,20190,231785,175494,121836,22007,241056
32592,ZIP,FL,553921,564999,85426,8799,310196,446349,62361,7391,294686
32601,ZIP,FL,24257,20376,113427,5104,26440,11614,86205,4594,14542
32602,ZIP,FL,33097,34090,74587,9100,19527,33749,79062,9100,14841
32603,ZIP,FL,885573,726170,48156,4334,602190,559151,33709,2774,590146
32604,ZIP,FL,995451,507680,85561,5561,1035269,253840,80427,5617,1024916
32605,ZIP,FL,963957,915759,65343,4705,906120,576928,45740,2823,842692
32606,ZIP,FL,183565,130331,58409,4965,189072,121208,49064,4022,166383
32607,ZIP,FL,182533,85791,63457,6155,151502,68633,58380,4924,122717
32608,ZIP,FL,30345,25186,15961,1516,23973,25186,16280,985,13665
32609,ZIP,FL,819236,581658,110479,14473,811044,389711,90593,9986,592062
32610,ZIP,FL,871992,741193,64594,7170,453436,630014,57489,6095,317405
32611,ZIP,FL,456060,405893,174,25,282757,377480,124,13,237516
32612,ZIP,FL,424686,407699,173503,23596,271799,330236,147478,12506,288107
32613,ZIP,FL,718169,265723,172598,16742,696624,276352,155338,15403,515502
32614,ZIP,FL,867711,702846,143464,20372,607398,442793,84644,10390,498066
32615,ZIP,FL,16179,12458,137320,3845,9060,7350,126334,3345,6704
